[2025-08-08T04:53:27.791Z] [ws_1754628807790] WEBSOCKET: Connection created to wss://api-gaming.blaze.bet.br/replication/?EIO=3&transport=websocket
[2025-08-08T04:53:28.168Z] [ws_1754628807790] RECEIVED: Raw payload (86 bytes)
[2025-08-08T04:53:28.188Z] [ws_1754628807790] RECEIVED: JSON Payload:
[2025-08-08T04:53:28.188Z] [ws_1754628807790] RECEIVED_DATA: 40
[2025-08-08T04:53:29.691Z] [ws_1754628807790] SENT: Raw payload (82 bytes)
[2025-08-08T04:53:29.723Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:53:29.724Z] [ws_1754628807790] RECEIVED: Raw payload (9 bytes)
[2025-08-08T04:53:31.695Z] [ws_1754628807790] SENT: Raw payload (82 bytes)
[2025-08-08T04:53:31.729Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:53:31.729Z] [ws_1754628807790] RECEIVED: Raw payload (9 bytes)
[2025-08-08T04:53:33.700Z] [ws_1754628807790] SENT: Raw payload (82 bytes)
[2025-08-08T04:53:33.736Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:53:33.738Z] [ws_1754628807790] RECEIVED: Raw payload (9 bytes)
[2025-08-08T04:53:35.701Z] [ws_1754628807790] SENT: Raw payload (82 bytes)
[2025-08-08T04:53:35.732Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:53:35.733Z] [ws_1754628807790] RECEIVED: Raw payload (9 bytes)
[2025-08-08T04:53:37.710Z] [ws_1754628807790] SENT: Raw payload (82 bytes)
[2025-08-08T04:53:37.743Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:53:37.743Z] [ws_1754628807790] RECEIVED: Raw payload (9 bytes)
[2025-08-08T04:53:39.721Z] [ws_1754628807790] SENT: Raw payload (82 bytes)
[2025-08-08T04:53:39.754Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:53:39.756Z] [ws_1754628807790] RECEIVED: Raw payload (9 bytes)
[2025-08-08T04:53:41.723Z] [ws_1754628807790] SENT: Raw payload (82 bytes)
[2025-08-08T04:53:41.754Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:53:41.755Z] [ws_1754628807790] RECEIVED: Raw payload (9 bytes)
[2025-08-08T04:53:43.727Z] [ws_1754628807790] SENT: Raw payload (82 bytes)
[2025-08-08T04:53:43.760Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:53:43.761Z] [ws_1754628807790] RECEIVED: Raw payload (9 bytes)
[2025-08-08T04:53:45.741Z] [ws_1754628807790] SENT: Raw payload (82 bytes)
[2025-08-08T04:53:45.780Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:53:45.781Z] [ws_1754628807790] RECEIVED: Raw payload (9 bytes)
[2025-08-08T04:53:47.745Z] [ws_1754628807790] SENT: Raw payload (82 bytes)
[2025-08-08T04:53:47.791Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:53:47.792Z] [ws_1754628807790] RECEIVED: Raw payload (9 bytes)
[2025-08-08T04:53:49.754Z] [ws_1754628807790] SENT: Raw payload (83 bytes)
[2025-08-08T04:53:49.787Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:53:49.788Z] [ws_1754628807790] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:53:51.767Z] [ws_1754628807790] SENT: Raw payload (83 bytes)
[2025-08-08T04:53:51.812Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:53:51.813Z] [ws_1754628807790] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:53:53.161Z] [ws_1754628807790] SENT: JSON Payload:
[2025-08-08T04:53:53.161Z] [ws_1754628807790] SENT_DATA: 2
[2025-08-08T04:53:53.187Z] [ws_1754628807790] RECEIVED: JSON Payload:
[2025-08-08T04:53:53.187Z] [ws_1754628807790] RECEIVED_DATA: 3
[2025-08-08T04:53:53.773Z] [ws_1754628807790] SENT: Raw payload (83 bytes)
[2025-08-08T04:53:53.810Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:53:53.811Z] [ws_1754628807790] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:53:55.771Z] [ws_1754628807790] SENT: Raw payload (83 bytes)
[2025-08-08T04:53:55.803Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:53:55.804Z] [ws_1754628807790] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:53:57.780Z] [ws_1754628807790] SENT: Raw payload (83 bytes)
[2025-08-08T04:53:57.813Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:53:57.814Z] [ws_1754628807790] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:53:59.798Z] [ws_1754628807790] SENT: Raw payload (83 bytes)
[2025-08-08T04:53:59.847Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:53:59.848Z] [ws_1754628807790] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:54:01.797Z] [ws_1754628807790] SENT: Raw payload (83 bytes)
[2025-08-08T04:54:01.828Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:54:01.829Z] [ws_1754628807790] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:54:03.810Z] [ws_1754628807790] SENT: Raw payload (83 bytes)
[2025-08-08T04:54:03.845Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:54:03.846Z] [ws_1754628807790] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:54:05.827Z] [ws_1754628807790] SENT: Raw payload (83 bytes)
[2025-08-08T04:54:05.869Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:54:05.872Z] [ws_1754628807790] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:54:07.826Z] [ws_1754628807790] SENT: Raw payload (83 bytes)
[2025-08-08T04:54:07.864Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:54:07.864Z] [ws_1754628807790] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:54:09.843Z] [ws_1754628807790] SENT: Raw payload (83 bytes)
[2025-08-08T04:54:09.879Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:54:09.891Z] [ws_1754628807790] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:54:11.841Z] [ws_1754628807790] SENT: Raw payload (83 bytes)
[2025-08-08T04:54:11.873Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:54:11.874Z] [ws_1754628807790] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:54:13.868Z] [ws_1754628807790] SENT: Raw payload (83 bytes)
[2025-08-08T04:54:13.910Z] [ws_1754628807790] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:54:13.911Z] [ws_1754628807790] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:54:15.862Z] [ws_1754628807790] SENT: Raw payload (83 bytes)
